ts_iso,ts_ms,x_vibe,y_vibe,z_vibe,x_jerk,y_jerk,z_jerk,acc_mag,vibration_score,is_vibrating,vibration_level,jerk_mag,jerk_score
2026-05-01T00:00:00Z,1714521600000,0.02,0.01,0.98,0.05,0.03,0.1,0.9803,0.0197,false,Stationary,0.1118,0.0
2026-05-01T00:01:00Z,1714521660000,0.03,0.02,0.97,0.04,0.04,0.09,0.9703,0.01,false,Stationary,0.1010,0.0108
2026-05-01T00:02:00Z,1714521720000,0.01,0.03,0.99,0.06,0.02,0.08,0.9901,0.0198,false,Stationary,0.1000,0.0010
2026-05-01T00:03:00Z,1714521780000,0.04,0.00,0.96,0.03,0.05,0.11,0.9603,0.0298,false,Stationary,0.1140,0.0140
2026-05-01T00:04:00Z,1714521840000,0.02,0.02,0.98,0.07,0.01,0.07,0.9802,0.0001,false,Stationary,0.0992,0.0148
2026-05-01T00:05:00Z,1714521900000,0.05,0.01,0.95,0.02,0.06,0.12,0.9503,0.0299,false,Stationary,0.1240,0.0248
2026-05-01T00:06:00Z,1714521960000,0.00,0.04,1.00,0.08,0.00,0.06,1.0000,0.0497,true,Mild Vibration,0.1000,0.0240
2026-05-01T00:07:00Z,1714522020000,0.03,0.02,0.97,0.05,0.03,0.10,0.9703,0.0297,false,Stationary,0.1118,0.0118
2026-05-01T00:08:00Z,1714522080000,0.01,0.03,0.99,0.04,0.04,0.09,0.9901,0.0198,false,Stationary,0.1010,0.0000
2026-05-01T00:09:00Z,1714522140000,0.04,0.00,0.96,0.06,0.02,0.08,0.9603,0.0298,false,Stationary,0.1000,0.0010
